"origin","destination","departure_date","return_date","departure_time_outbound","arrival_time_outbound","departure_time_return","arrival_time_return","economy_cost","business_cost","first_class_cost","airline"
"Frankfurt","New York","2024-03-28","2024-04-02","11:30","13:55","11:30","13:55","1000","1800","2500","Lufthansa"
"Frankfurt","Buenos Aires","2024-03-30","2024-04-04","22:05","07:55","22:05","07:55","1200","2000","2800","Lufthansa"
"Frankfurt","Shanghai","2024-04-01","2024-04-06","15:05","10:05","15:05","10:05","800","1500","2000","Lufthansa"
"Frankfurt","Los Angeles","2024-04-02","2024-04-07","10:25","13:05","10:25","13:05","1100","1900","2600","Lufthansa"
"Frankfurt","Houston","2024-04-03","2024-04-08","10:00","14:40","10:00","14:40","900","1600","2200","Lufthansa"
"Madrid","Manchester","2024-04-25","2024-04-30","08:55","10:30","08:55","10:30","900","1800","0","Iberia"
"Madrid","Rome","2024-04-26","2024-05-01","08:40","11:10","08:40","11:10","700","900","0","Iberia"
"Madrid","Caracas","2024-04-27","2024-05-02","11:55","16:15","11:55","16:15","3000","4000","5000","Iberia"
"Dubai","Bangkok","2024-05-05","2024-05-10","08:55","18:05","08:55","18:05","1000","6700","11000","Emirates"
"Dubai","Johannesburg","2024-05-06","2024-05-11","04:40","10:55","04:40","10:55","3600","7000","13000","Emirates"
"Dubai","Houston","2024-05-07","2024-05-12","09:55","15:45","09:55","15:45","10000","15000","24000","Emirates"
"Dubai","Beijing","2024-05-08","2024-05-13","03:20","14:45","03:20","14:45","5500","10000","14000","Emirates"
"Hong Kong","Madrid","2024-05-25","2024-05-30","00:20","08:20","00:20","08:20","14000","21000","34000","Cathay Pacific"
"Hong Kong","Tokyo","2024-05-26","2024-05-31","16:25","21:15","16:25","21:15","6000","9000","12000","Cathay Pacific"
"Hong Kong","Seoul","2024-05-28","2024-06-02","16:40","21:15","16:40","21:15","6000","9000","15000","Cathay Pacific"
"Atlanta","Houston","2024-05-29","2024-06-03","17:55","20:55","17:55","20:55","7000","10000","0","Delta Airlines "
"Atlanta","New York","2024-05-30","2024-06-04","19:29","22:41","19:29","22:41","5000","8000","0","Delta Airlines "
"Dubai","Londres","2024-04-29","2024-05-04","07:45","11:40","07:45","11:40","1000","2000","9000","Emirates"
"Paris","Londres","2024-05-14","2024-05-19","16:10","16:35","16:10","16:35","2000","4000","0","Air France"
"Atlanta","Londres","2024-06-05","2024-06-10","18:00","07:15","18:00","07:15","19000","29000","0","Delta Airlines "
"Dubai","Seoul","2024-04-30","2024-05-05","03:30","16:50","03:30","16:50","2000","7000","1600","Emirates"
"Dubai","Los Angeles","2024-05-01","2024-05-06","08:30","12:45","08:30","12:45","4500","9000","12000","Emirates"
"Dubai","Sydney","2024-05-02","2024-05-07","10:15","07:00","10:15","07:00","7000","12000","20000","Emirates"
"Dubai","New York","2024-05-03","2024-05-08","08:30","13:55","08:30","13:55","3000","5500","10000","Emirates"
"Dubai","New Delhi","2024-05-04","2024-05-09","03:20","07:55","03:20","07:55","2500","4000","9700","Emirates"
"Paris","Shanghai","2024-05-09","2024-05-14","22:00","17:45","22:00","17:45","10000","15500","20000","Air France"
"Paris","Nairobi","2024-05-10","2024-05-15","10:10","20:45","10:10","20:45","5000","7000","10000","Air France"
"Paris","Sao Paulo","2024-05-11","2024-05-16","23:20","07:10","23:20","07:10","10000","12000","18000","Air France"
"Paris","Dubai","2024-05-12","2024-05-17","13:35","23:20","13:35","23:20","6000","8000","13000","Air France"
"Paris","Tokyo","2024-05-13","2024-05-18","11:25","09:05","11:25","09:05","15000","16000","0","Air France"
"Paris","Zurich","2024-05-15","2024-05-20","17:50","19:05","17:50","19:05","1000","5000","0","Air France"
"Paris","Miami","2024-05-16","2024-05-21","13:20","17:30","13:20","17:30","9000","15000","21000","Air France"
"Paris","Venice","2024-05-17","2024-05-22","15:20","16:55","15:20","16:55","1000","6000","0","Air France"
"Paris","Vancouver","2024-05-18","2024-05-23","10:20","11:25","10:20","11:25","15000","25000","35000","Air France"
"Paris","Manchester","2024-05-19","2024-05-24","18:05","18:30","18:05","18:30","6000","8000","0","Air France"
"Paris","Cancun","2024-05-20","2024-05-25","14:35","19:50","14:35","19:50","19000","26000","32000","Air France"
"Hong Kong","Paris","2024-05-21","2024-05-26","00:05","07:35","00:05","07:35","20000","30000","45000","Cathay Pacific"
"Hong Kong","Sydney","2024-05-22","2024-05-27","23:55","12:00","23:55","12:00","10000","20000","29000","Cathay Pacific"
"Hong Kong","Singapore","2024-05-23","2024-05-28","16:00","20:10","16:00","20:10","9000","15000","20000","Cathay Pacific"
"Hong Kong","San Francisco","2024-05-24","2024-05-29","13:41","09:30","13:41","09:30","10000","20000","35000","Cathay Pacific"
"Atlanta","Guatemala City","2024-05-31","2024-06-05","09:50","12:29","09:50","12:29","6000","10000","0","Delta Airlines "
"Atlanta","Orlando","2024-06-01","2024-06-06","10:25","12:00","10:25","12:00","4000","9000","0","Delta Airlines "
"Atlanta","Punta Cana","2024-06-02","2024-06-07","11:20","15:50","11:20","15:50","7000","12000","0","Delta Airlines "
"Atlanta","Toronto","2024-06-03","2024-06-08","14:49","17:02","14:49","17:02","4000","10000","0","Delta Airlines "
"Atlanta","Salt Lake City","2024-06-04","2024-06-09","10:00","12:24","10:00","12:24","10000","15000","0","Delta Airlines "
"Atlanta","Paris","2024-06-06","2024-06-11","15:45","06:10","15:45","06:10","20000","30000","0","Delta Airlines "
"Rome","Barcelona","2024-06-07","2024-06-12","09:00","10:50","09:00","10:50","2000","6000","0","ITA Airways"
"Rome","Athens","2024-06-08","2024-06-13","15:30","18:30","15:30","18:30","1500","5500","0","ITA Airways"
"Rome","Tokyo","2024-06-09","2024-06-14","15:05","11:20","15:05","11:20","9000","20000","0","ITA Airways"
"Rome"," Los Angeles","2024-06-10","2024-06-15","09:15","10:25","09:15","10:25","900","1300","0","ITA Airways"
"Rome","Madrid","2024-06-11","2024-06-16","08:20","10:55","08:20","10:55","1000","2500","0","ITA Airways"
"Rome","Buenos Aires","2024-06-12","2024-06-17","22:30","08:40","22:30","08:40","10000","25000","0","ITA Airways"
"Rome","Miami","2024-06-13","2024-06-18","10:20","16:05","10:20","16:05","10000","24000","0","ITA Airways"
"Sao Paulo","Rio de Janeiro","2024-06-15","2024-06-20","19:55","20:55","19:55","20:55","400","1000","0","LATAM Brasil"
"Sao Paulo","Barcelona","2024-06-16","2024-06-21","18:00","08:25","18:00","08:25","15000","30000","0","LATAM Brasil"
"Sao Paulo","New York","2024-06-17","2024-06-22","23:05","07:35","23:05","07:35","10000","20000","0","LATAM Brasil"
"Sao Paulo","Frankfurt","2024-06-19","2024-06-24","23:00","14:50","23:00","14:50","25000","40000","0","LATAM Brasil"
"Sao Paulo","Los Angeles","2024-06-20","2024-06-25","23:05","06:25","23:05","06:25","17000","28000","0","LATAM Brasil"
"Sao Paulo","Buenos Aires","2024-06-21","2024-06-26","22:30","01:35","22:30","01:35","2000","4000","0","LATAM Brasil"
"Doha","Dubai","2024-06-22","2024-06-27","23:30","00:35","22:30","23:35","11706.18","20341.52","32000","Qatar Airways"
"Doha","Houston","2024-06-23","2024-06-28","00:30","19:35","00:30","03:35","11844.7","20585.31","80919.79","Qatar Airways"
"Doha","Paris","2024-06-24","2024-06-29","01:30","07:35","01:30","04:35","11983.23","20829.09","80735.84","Qatar Airways"
"Doha","Madrid","2024-06-25","2024-06-30","02:30","08:35","02:30","05:35","12121.75","21072.87","100119.79","Qatar Airways"
"Doha","Kuwait","2024-06-26","2024-07-01","03:30","04:30","03:30","06:35","12260.28","21316.65","119503.75","Qatar Airways"
"Doha","Jeddah","2024-06-27","2024-07-02","04:30","07:30","04:30","07:35","12398.8","21560.43","138887.71","Qatar Airways"
"Doha","Tokyo","2024-06-28","2024-07-03","  05:30","17:30","05:30","08:35","12537.32","21804.21","158271.67","Qatar Airways"
"Doha","Singapore","2024-06-29","2024-07-04","  06:30","07:30","06:30","09:35","12675.85","22048","177655.63","Qatar Airways"
"Doha","Rome","2024-06-30","2024-07-05","07:30","08:30","07:30","10:35","12814.37","22291.78","197039.59","Qatar Airways"
"Doha","Singapore","2024-07-01","2024-07-06","08:30","09:30","08:30","11:35","12952.9","22535.56","216423.55","Qatar Airways"
"Doha","Kuala Lumpur","2024-07-02","2024-07-07","09:30","10:30","09:30","12:35","13091.42","22779.34","235807.51","Qatar Airways"
"Sao Paulo","Bogota","2024-06-14","2024-06-19","13:55","17:55","13:55","17:55","9000","15000","0","LATAM Brasil"
"Sao Paulo","Londres","2024-06-18","2024-06-23","23:45","14:05","23:45","14:05","20000","32000","0","LATAM Brasil"
